Date,PD FASA R ,PD FASA S ,PD FASA T
01/01/2021 02:52:00,1.7,1.7,1.3
01/01/2021 08:54:00,1.7,1.6,1.2
01/01/2021 14:55:00,2,1.6,1.2
01/01/2021 20:57:00,2,1.7,1.2
01/02/2021 02:59:00,1.7,1.7,1.2
01/02/2021 09:01:00,1.7,1.6,1.3
01/02/2021 15:03:00,2,1.5,1.2
01/02/2021 21:05:00,1.8,1.6,1.2
01/03/2021 03:07:00,2,1.6,1.2
01/03/2021 09:09:00,2,1.6,1.2
01/03/2021 15:10:00,2,1.6,1.1
01/03/2021 21:12:00,2,1.7,1.2
01/04/2021 03:14:00,1.8,1.7,1.2
01/04/2021 09:16:00,1.7,1.6,1.2
01/04/2021 15:17:00,1.6,1.6,1.2
01/04/2021 21:19:00,1.8,1.6,1.3
01/05/2021 03:22:00,2,1.7,1.2
01/05/2021 09:24:00,1.6,1.7,1.2
01/05/2021 15:24:00,1.8,1.6,1.2
01/05/2021 21:26:00,1.8,1.7,1.2
01/06/2021 03:28:00,1.8,1.7,1.2
01/06/2021 09:30:00,1.8,1.6,1.2
01/06/2021 15:32:00,1.8,1.6,1.2
01/06/2021 21:34:00,1.9,1.6,1.2
01/07/2021 03:36:00,1.8,1.6,1.3
01/07/2021 09:38:00,1.7,1.6,1.1
01/07/2021 15:39:00,2,1.6,1.2
01/07/2021 21:41:00,1.8,1.6,1.3
01/08/2021 03:43:00,2,1.6,1.3
01/08/2021 09:45:00,1.9,1.7,1.2
01/08/2021 15:46:00,1.8,1.6,1.2
01/08/2021 21:48:00,2,1.6,1.3
01/09/2021 03:50:00,1.9,1.7,1.3
01/09/2021 09:52:00,1.6,1.6,1.2
01/09/2021 15:53:00,2,1.6,1.2
01/09/2021 21:55:00,1.8,1.7,1.3
01/10/2021 03:58:00,1.9,1.7,1.3
01/10/2021 10:00:00,1.7,1.7,1.2
01/10/2021 16:01:00,1.8,1.7,1.2
01/10/2021 22:03:00,1.8,1.7,1.3
01/11/2021 04:05:00,2,1.7,1.3
